id,Temperature,Humidity,Light,CO2,HumidityRatio,Occupied
45,22.5,27.445,0,646,0.004627429,no
46,22.5,27.5,0,646,0.004636772,no
47,22.5,27.445,0,641.5,0.004627429,no
48,22.39,27.29,0,639,0.004570212,no
49,22.5,27.5,0,640,0.004636772,no
50,22.39,27.34,0,630.5,0.004578647,no
51,22.39,27.35666667,0,629.3333333,0.004581459,no
52,22.39,27.5,0,632,0.004605641,no
53,22.39,27.5,0,636.5,0.004605641,no
54,22.39,27.5,0,627.5,0.004605641,no
55,22.39,27.39,0,626,0.004587082,no
56,22.39,27.5,0,625.5,0.004605641,no
57,22.34,27.39,0,623.5,0.00457305,no
58,22.39,27.46333333,0,624.6666667,0.004599455,no
59,22.39,27.39,0,622,0.004587082,no
60,22.29,27.39,0,621,0.004559056,no
61,22.34,27.39,0,626.5,0.00457305,no
62,22.29,27.39,0,622,0.004559056,no
63,22.39,27.39,0,620,0.004587082,no
64,22.29,27.39,0,621.5,0.004559056,no
65,22.29,27.35666667,0,616.3333333,0.004553467,no
66,22.29,27.34,0,609,0.004550673,no
67,22.29,27.39,0,614,0.004559056,no
68,22.29,27.34,0,613.5,0.004550673,no
69,22.29,27.34,0,611,0.004550673,no
70,22.29,27.39,0,612,0.004559056,no
71,22.29,27.29,0,608,0.00454229,no
72,22.29,27.29,0,605.5,0.00454229,no
73,22.2675,27.315,0,608.5,0.004540214,no
74,22.2,27.29,0,608.5,0.004517288,no
75,22.245,27.29,0,602.5,0.004529774,no
76,22.2,27.29,0,598,0.004517288,no
77,22.2,27.29,0,595,0.004517288,no
78,22.2,27.29,0,591,0.004517288,no
79,22.245,27.245,0,591,0.00452225,no
80,22.2,27.2,0,595,0.004502283,no
81,22.2,27.29,0,594.3333333,0.004517288,no
82,22.2,27.29,0,593.5,0.004517288,no
83,22.2,27.29,0,592,0.004517288,no
84,22.15,27.245,0,586.5,0.004495971,no
85,22.2,27.2,0,586,0.004502283,no
86,22.15,27.245,0,586,0.004495971,no
87,22.2,27.245,0,584.5,0.004509785,no
88,22.1,27.245,0,584.5,0.004482195,no
89,22.1,27.2,0,585.5,0.004474738,no
90,22.13333333,27.2,0,584.6666667,0.004483903,no
91,22.2,27.2,0,577,0.004502283,no
92,22.1,27.2,0,580,0.004474738,no
93,22.125,27.2,0,582,0.00448161,no
94,22.2,27.2,0,580,0.004502283,no
95,22.1,27.15,0,578,0.004466454,no
96,22.1,27.2,0,576.5,0.004474738,no
97,22.1,27.2,0,580,0.004474738,no
98,22.1,27.2,0,572.5,0.004474738,no
99,22.1,27.2,0,567,0.004474738,no
100,22.1,27.2,0,568,0.004474738,no
101,22.1,27.2,0,574.5,0.004474738,no
102,22.1,27.2,0,564.3333333,0.004474738,no
103,22.1,27.2,0,563,0.004474738,no
104,22.1,27.15,0,564.5,0.004466454,no
105,22.06666667,27.16666667,0,566.3333333,0.004460078,no
106,22.1,27.1,0,562,0.004458169,no
107,22,27.1,0,565.5,0.004430876,
108,22,27.1,0,570,0.004430876,no
109,22.05,27.15,0,562,0.004452763,no
110,22,27.1,0,560,0.004430876,no
111,22,27.1,0,558,0.004430876,no
112,22,27.1,0,556,0.004430876,no
113,22,27.1,0,557,0.004430876,no
114,21.9175,27.1,0,556.5,0.004408469,no
115,21.945,27.1,0,557.5,0.004415927,no
116,21.92666667,27.1,0,555,0.004410954,no
117,21.89,27.1,0,555,0.004401023,no
118,21.89,27.1,0,553,0.004401023,no
119,21.89,27.1,0,549.5,0.004401023,no
120,21.89,27.1,0,548.5,0.004401023,no
121,21.89,27.1,0,551.5,0.004401023,no
122,21.89,27.1,0,548.5,0.004401023,no
123,21.89,27.1,0,548,0.004401023,no
124,21.89,27.1,0,547.5,0.004401023,no
125,21.89,27.1,0,553,0.004401023,no
126,21.84,27.1,0,547.5,0.004387512,no
127,21.85666667,27.1,0,548.6666667,0.004392012,no
128,21.79,27.1,0,540,0.004374038,no
129,21.79,27.1,0,538,0.004374038,no
130,21.79,27.1,0,542,0.004374038,no
131,21.79,27.1,0,542,0.004374038,no
132,21.79,27.1,0,538,0.004374038,no
133,21.79,27.1,0,537.6666667,0.004374038,no
134,21.79,27.1,0,537.5,0.004374038,no
135,21.79,27.1,0,536,0.004374038,no
136,21.745,27.1,0,534.5,0.004361943,no
137,21.7,27.1,0,532.5,0.004349877,no
138,21.76,27.1,0,530,0.004365971,no
139,21.745,27.05,0,529.5,0.004353839,no
140,21.79,27.05,0,531,0.004365912,no
141,21.73,27,0,533.3333333,0.004341725,no
142,21.745,27,0,531,0.004345735,no
143,21.745,27,0,529,0.004345735,no
144,21.745,27,0,528.5,0.004345735,no
145,21.7,27,0,525,0.004333714,no
146,21.7,27,0,528.5,0.004333714,no
147,21.7,27,0,530.5,0.004333714,no
148,21.7,26.89,0,528,0.004315936,no
149,21.7,26.89,0,526,0.004315936,no
150,21.7,26.89,0,530,0.004315936,no
151,21.7,26.89,0,533.3333333,0.004315936,no
152,21.7,26.89,0,529,0.004315936,no
153,21.7,26.89,0,528,0.004315936,no
154,21.7,26.89,0,526,0.004315936,no
155,21.7,26.89,0,526,0.004315936,no
156,21.7,26.79,0,521,0.004299774,no
157,21.7,26.79,0,518,0.004299774,no
158,21.7,26.79,0,515.5,0.004299774,no
159,21.7,26.79,0,520,0.004299774,no
160,21.7,26.7675,0,523.5,0.004296138,no
161,21.7,26.79,0,525.5,0.004299774,no
162,21.7,26.79,0,525.5,0.004299774,no
163,21.7,26.79,0,514,0.004299774,no
164,21.7,26.7,0,518,0.00428523,no
165,21.7,26.7,0,518,0.00428523,no
166,21.7,26.7,0,520,0.00428523,no
167,21.6,26.7,0,521,0.004258922,no
168,21.6,26.6,0,518,0.004242862,no
169,21.6,26.65,0,517,0.004250892,no
170,21.6,26.6,0,511.5,0.004242862,no
171,21.65,26.65,0,514,0.004264003,no
172,21.6,26.55,0,515.5,0.004234832,no
173,21.6,26.5,0,517,0.004226803,no
174,21.6,26.5,0,515,0.004226803,no
175,21.6,26.5,0,512,0.004226803,no
176,21.6,26.5,0,515,0.004226803,no
177,21.65,26.55,0,511,0.004247894,no
178,21.6,26.5,0,514,0.004226803,no
179,21.6,26.445,0,508,0.004217971,no
180,21.6,26.4725,0,509.75,0.004222387,no
181,21.6,26.445,0,508.75,0.004217971,no
182,21.6,26.445,0,508.5,0.004217971,no
183,21.6,26.39,0,507,0.004209139,no
184,21.6,26.39,0,507,0.004209139,no
185,21.6,26.39,0,503.5,0.004209139,no
186,21.6,26.39,0,504,0.004209139,no
187,21.6,26.39,0,504,0.004209139,no
188,21.575,26.315,0,500.5,0.004190637,no
189,21.6,26.29,0,500,0.004193082,no
190,21.6,26.29,0,503.5,0.004193082,no
191,21.55,26.245,0,503,0.004172982,no
192,21.55,26.245,0,502.5,0.004172982,
193,21.5,26.2,0,502,0.004152962,no
194,21.56666667,26.2,0,502,0.004170059,no
195,21.5,26.2,0,502.5,0.004152962,no
196,21.5,26.2,0,497,0.004152962,no
197,21.5,26.15,0,501.5,0.004144984,no
198,21.5,26.15,0,504,0.004144984,no
199,21.5,26.1,0,501,0.004137006,no
200,21.5,26.1,0,493.75,0.004137006,no
201,21.5,26.1,0,500,0.004137006,no
202,21.5,26.1,0,504.5,0.004137006,no
203,21.5,26.05,0,504,0.004129028,no
204,21.5,26.1,0,501,0.004137006,no
205,21.5,26,0,499,0.00412105,no
206,21.5,26,0,502,0.00412105,no
207,21.5,26,0,503.5,0.00412105,no
208,21.5,26,0,500.6666667,0.00412105,no
209,21.5,26,0,493,0.00412105,no
210,21.5,26,0,492.5,0.00412105,no
211,21.5,26,0,493,0.00412105,no
212,21.5,25.89,0,495.5,0.0041035,no
213,21.5,26,0,492.6666667,0.00412105,no
214,21.5,26,0,490,0.00412105,no
215,21.5,25.92666667,0,493,0.00410935,no
216,21.5,25.89,0,494.6666667,0.0041035,no
217,21.5,25.89,0,496,0.0041035,no
218,21.5,25.89,0,491,0.0041035,no
219,21.5,25.84,0,490.5,0.004095523,no
220,21.5,25.84,0,490,0.004095523,no
221,21.5,25.89,0,491,0.0041035,no
222,21.5,25.89,0,491.6666667,0.0041035,no
223,21.5,25.89,0,493.5,0.0041035,no
224,21.4725,25.865,0,493.75,0.004092568,no
225,21.5,25.84,0,490,0.004095523,no
226,21.5,25.79,0,488,0.004087546,no
227,21.5,25.79,0,490,0.004087546,no
228,21.5,25.79,0,487,0.004087546,no
229,21.445,25.745,0,492.5,0.004066556,no
230,21.445,25.745,0,493.5,0.004066556,no
231,21.46333333,25.76,0,493.3333333,0.004073542,no
232,21.445,25.745,0,488,0.004066556,no
233,21.5,25.79,0,487.5,0.004087546,no
234,21.42666667,25.73,0,485.3333333,0.004059579,no
235,21.39,25.7,0,484,0.004045656,no
236,21.39,25.7,0,489,0.004045656,no
237,21.445,25.745,0,488,0.004066556,no
238,21.5,25.79,0,493,0.004087546,no
239,21.39,25.7,0,491,0.004045656,no
240,21.445,25.745,0,488,0.004066556,no
241,21.445,25.745,0,487.25,0.004066556,no
242,21.39,25.7,0,489,0.004045656,no
243,21.5,25.79,0,489,0.004087546,no
244,21.39,25.7,0,486,0.004045656,no
245,21.42666667,25.73,0,484.6666667,0.004059579,no
246,21.39,25.7,0,485,0.004045656,no
247,21.39,25.7,0,487,0.004045656,no
248,21.39,25.7,0,492,0.004045656,no
249,21.39,25.7,0,490.6666667,0.004045656,no
250,21.39,25.7,0,488,0.004045656,no
251,21.39,25.7,0,485.5,0.004045656,no
252,21.39,25.7,0,486,0.004045656,no
253,21.39,25.7,0,485.5,0.004045656,no
254,21.39,25.7,0,486,0.004045656,no
255,21.39,25.7,0,480,0.004045656,no
256,21.39,25.7,0,481,0.004045656,no
257,21.39,25.7,0,481.6666667,0.004045656,no
258,21.39,25.7,0,485.5,0.004045656,no
259,21.39,25.7,0,485,0.004045656,no
260,21.39,25.7,0,473,0.004045656,no
261,21.39,25.7,0,475,0.004045656,no
262,21.39,25.7,0,486,0.004045656,no
263,21.39,25.7,0,481.5,0.004045656,no
264,21.39,25.7,0,483,0.004045656,no
265,21.39,25.7,0,479,0.004045656,no
266,21.39,25.7,0,479,0.004045656,no
267,21.39,25.7,0,479,0.004045656,no
268,21.34,25.7,0,479,0.004033195,no
269,21.39,25.7,0,479,0.004045656,no
270,21.39,25.7,0,477,0.004045656,no
271,21.39,25.7,0,477.5,0.004045656,no
272,21.29,25.7,0,477.5,0.004020769,no
273,21.34,25.7,0,480,0.004033195,no
274,21.29,25.7,0,480,0.004020769,no
275,21.34,25.7,0,482,0.004033195,no
276,21.32333333,25.7,0,480.3333333,0.004029049,no
277,21.34,25.7,0,477.5,0.004033195,no
278,21.29,25.7,0,476,0.004020769,no
279,21.39,25.7,0,479,0.004045656,no
280,21.39,25.7,0,471,0.004045656,no
281,21.29,25.7,0,474,0.004020769,no
282,21.29,25.7,0,477.5,0.004020769,no
283,21.34,25.7,0,476,0.004033195,no
284,21.29,25.7,0,474.25,0.004020769,no
285,21.39,25.7,0,475,0.004045656,no
286,21.29,25.7,0,476.5,0.004020769,no
287,21.34,25.7,0,474.5,0.004033195,no
288,21.29,25.7,0,478,0.004020769,no
289,21.29,25.7,0,475.3333333,0.004020769,no
290,21.29,25.7,0,477,0.004020769,no
291,21.29,25.7,0,475.5,0.004020769,no
292,21.29,25.7,0,477.5,0.004020769,no
293,21.29,25.7,0,477.5,0.004020769,no
294,21.29,25.7,0,478,0.004020769,no
295,21.29,25.7,0,473.5,0.004020769,no
296,21.29,25.7,0,472.5,0.004020769,no
297,21.29,25.7,0,472,0.004020769,no
298,21.29,25.7,0,469.5,0.004020769,no
299,21.29,25.7,0,466.6666667,0.004020769,no
300,21.29,25.7,0,467,0.004020769,no
301,21.29,25.7,0,469.5,0.004020769,no
302,21.2,25.6,0,469,0.003982828,no
303,21.29,25.7,0,471,0.004020769,no
304,21.29,25.7,0,469,0.004020769,no
305,21.26,25.66666667,0,467.3333333,0.00400809,no
306,21.245,25.65,0,471.5,0.004001763,no
307,21.23,25.63333333,0,471.6666667,0.003995443,no
308,21.29,25.7,0,475,0.004020769,no
309,21.2,25.6,0,471,0.003982828,no
310,21.2,25.6,0,471,0.003982828,no
311,21.245,25.65,0,471,0.004001763,no
312,21.245,25.65,0,474.5,0.004001763,no
313,21.2,25.6,0,475.5,0.003982828,no
314,21.2,25.6,0,474,0.003982828,no
315,21.2,25.6,0,469,0.003982828,no
316,21.2,25.6,0,474,0.003982828,no
317,21.2,25.6,0,474,0.003982828,no
318,21.2,25.6,0,468.5,0.003982828,no
319,21.2,25.6,0,469.5,0.003982828,no
320,21.2,25.6,0,472.5,0.003982828,no
321,21.2,25.6,0,467.5,0.003982828,no
322,21.2,25.6,0,469,0.003982828,no
323,21.2,25.55,0,466.5,0.003974999,no
324,21.2,25.5,0,469.5,0.003967171,no
325,21.2,25.5,0,469,0.003967171,no
326,21.2,25.5,0,467,0.003967171,no
327,21.2,25.5,0,467.3333333,0.003967171,no
328,21.2,25.5,0,467,0.003967171,no
329,21.2,25.5,0,464.5,0.003967171,no
330,21.2,25.445,0,466,0.00395856,no
331,21.2,25.5,0,473,0.003967171,no
332,21.2,25.39,0,475,0.003949949,no
333,21.2,25.39,0,471,0.003949949,no
334,21.2,25.39,0,470,0.003949949,no
335,21.2,25.39,0,466.25,0.003949949,no
336,21.2,25.39,0,467,0.003949949,no
337,21.2,25.39,0,473,0.003949949,no
338,21.2,25.39,0,468,0.003949949,no
339,21.2,25.39,0,463,0.003949949,no
340,21.2,25.39,0,466,0.003949949,no
341,21.2,25.39,0,467,0.003949949,no
342,21.2,25.29,0,468,0.003934293,no
343,21.2,25.39,0,468,0.003949949,no
344,21.2,25.29,0,468,0.003934293,no
345,21.2,25.34,0,465.5,0.003942121,no
346,21.2,25.39,0,464,0.003949949,no
347,21.2,25.34,0,464.5,0.003942121,no
348,21.2,25.29,0,465.6666667,0.003934293,no
349,21.2,25.365,0,465.75,0.003946035,no
350,21.2,25.39,0,464,0.003949949,no
351,21.2,25.39,0,467,0.003949949,no
352,21.15,25.39,0,466.5,0.003937767,no
353,21.2,25.39,0,465,0.003949949,no
354,21.2,25.39,0,462,0.003949949,no
355,21.2,25.39,0,459.6666667,0.003949949,no
356,21.2,25.29,0,458,0.003934293,no
357,21.2,25.34,0,462.5,0.003942121,no
358,21.2,25.29,0,467,0.003934293,no
359,21.2,25.29,0,466.5,0.003934293,no
360,21.2,25.29,0,463,0.003934293,no
361,21.2,25.29,0,465,0.003934293,no
362,21.2,25.29,0,463.25,0.003934293,no
363,21.2,25.29,0,460,0.003934293,no
364,21.2,25.29,0,457,0.003934293,no
365,21.2,25.29,0,456,0.003934293,no
366,21.245,25.245,0,454,0.003938177,no
367,21.23,25.23,0,454,0.003932179,no
368,21.29,25.29,0,458,0.003956216,no
369,21.2,25.2,0,456,0.003920204,no
370,21.245,25.245,0,456.5,0.003938177,no
371,21.245,25.245,0,458.5,0.003938177,no
372,21.26,25.26,0,459.6666667,0.003944183,no
373,21.245,25.245,0,464,0.003938177,no
374,21.245,25.2,0,465,0.003931113,no
375,21.29,25.2,0,461,0.003942048,no
376,21.245,25.2,0,458.5,0.003931113,no
377,21.29,25.2,0,459,0.003942048,no
378,21.29,25.2,0,451,0.003942048,no
379,21.29,25.2,0,456,0.003942048,no
380,21.29,25.2,0,463,0.003942048,no
381,21.29,25.2,0,461.6666667,0.003942048,no
382,21.29,25.2,0,458,0.003942048,no
383,21.29,25.2,0,450,0.003942048,no
384,21.29,25.2,0,457,0.003942048,no
385,21.29,25.2,0,456,0.003942048,no
386,21.29,25.2,0,456,0.003942048,no
387,21.29,25.2,0,461,0.003942048,no
388,21.29,25.2,0,463,0.003942048,no
389,21.29,25.2,0,460,0.003942048,no
390,21.29,25.2,0,456,0.003942048,no
391,21.29,25.2,0,454.5,0.003942048,no
392,21.29,25.2,0,448.5,0.003942048,no
393,21.29,25.2,0,453.5,0.003942048,no
394,21.29,25.2,0,454,0.003942048,no
395,21.29,25.2,0,454,0.003942048,no
396,21.29,25.245,0,450.5,0.003949132,no
397,21.29,25.245,0,453,0.003949132,no
398,21.2,25.2,0,457,0.003920204,no
399,21.2,25.2,0,452.5,0.003920204,no
400,21.2,25.2,0,449,0.003920204,no
401,21.2,25.2,0,458.6666667,0.003920204,no
402,21.2,25.2,0,454.5,0.003920204,no
403,21.2,25.245,0,455.5,0.003927249,no
404,21.2,25.245,0,453.5,0.003927249,no
405,21.2,25.29,0,452,0.003934293,no
406,21.2,25.29,0,451.5,0.003934293,no
407,21.2,25.29,0,451,0.003934293,no
408,21.16666667,25.35666667,0,450.3333333,0.003936616,no
409,21.16666667,25.39,0,450,0.003941824,no
410,21.15,25.39,0,453.5,0.003937767,no
411,21.1,25.39,0,454,0.003925619,no
412,21.15,25.39,0,452.5,0.003937767,no
413,21.1,25.39,0,454,0.003925619,no
414,21.1,25.39,0,457,0.003925619,no
415,21.1,25.46333333,0,450.3333333,0.003937029,no
416,21.1,25.5,0,451,0.003942734,no
417,21.1,25.5,0,451,0.003942734,no
418,21.05,25.445,0,449,0.003922035,no
419,21.1,25.5,0,449,0.003942734,no
420,21.05,25.445,0,450,0.003922035,no
421,21.05,25.445,0,449,0.003922035,no
422,21.1,25.5,0,445,0.003942734,no
423,21,25.39,0,443,0.003901421,no
424,21.1,25.5,0,446.5,0.003942734,no
425,21.1,25.5,0,446,0.003942734,no
426,21.1,25.5,0,451.5,0.003942734,no
427,21.1,25.39,0,445,0.003925619,no
428,21.1,25.39,0,449,0.003925619,no
429,21.1,25.39,0,451.6666667,0.003925619,no
430,21.1,25.39,0,452,0.003925619,no
431,21.1,25.39,0,451,0.003925619,no
432,21.05,25.34,0,450,0.003905749,no
433,21.1,25.39,0,450,0.003925619,no
434,21.1,25.39,0,448,0.003925619,no
435,21.1,25.39,0,450.6666667,0.003925619,no
436,21.1,25.39,0,450,0.003925619,no
437,21.15,25.39,0,446,0.003937767,no
438,21.1,25.39,0,444,0.003925619,no
439,21.125,25.39,0,447.5,0.003931689,no
440,21.13333333,25.39,0,443.3333333,0.003933714,no
441,21.1,25.34,0,443.5,0.00391784,no
442,21.1,25.34,0,444,0.00391784,no
443,21.15,25.34,0,449,0.003929964,no
444,21.2,25.29,0,449.3333333,0.003934293,no
445,21.15,25.29,0,448,0.003922161,no
446,21.15,25.245,0,449.5,0.003915138,no
447,21.2,25.245,0,450,0.003927249,no
448,21.2,25.2,0,447,0.003920204,no
449,21.2,25.2,0,446,0.003920204,no
450,21.13333333,25.2,0,443,0.003904093,no
451,21.16666667,25.2,0,444,0.003912141,no
452,21.2,25.2,0,444.5,0.003920204,no
453,21.2,25.2,0,445,0.003920204,no
454,21.2,25.2,0,451,0.003920204,no
455,21.2,25.2,0,450,0.003920204,no
456,21.2,25.2,0,444,0.003920204,no
457,21.2,25.2,0,443,0.003920204,no
458,21.2,25.1,0,438.5,0.00390455,no
459,21.2,25.1,0,441,0.00390455,no
460,21.2,25.1,0,444,0.00390455,no
461,21.2,25.15,0,441.5,0.003912377,no
462,21.2,25.1,0,441,0.00390455,no
463,21.2,25.1,0,439.5,0.00390455,no
464,21.2,25.1,0,441,0.00390455,no
465,21.2,25.1,0,442,0.00390455,no
466,21.2,25.1,0,441,0.00390455,no
467,21.2,25.1,0,436,0.00390455,no
468,21.2,25.1,0,442.5,0.00390455,no
469,21.2,25.1,0,446,0.00390455,no
470,21.2,25.1,0,443,0.00390455,no
471,21.2,25.1,0,437.5,0.00390455,no
472,21.2,25.1,0,440.5,0.00390455,no
473,21.2,25.05,0,439.5,0.003896723,no
474,21.2,25,0,443,0.003888897,no
475,21.2,25,0,443,0.003888897,no
476,21.2,25,0,438.5,0.003888897,no
477,21.2,25,0,438,0.003888897,no
478,21.2,25,0,442.3333333,0.003888897,no
479,21.2,25,0,448,0.003888897,no
480,21.2,25.1,0,447.5,0.00390455,no
481,21.125,25.1,0,445.75,0.003886501,no
482,21.1,25,0,439,0.003864945,no
483,21.1,25.1,0,440,0.003880502,no
484,21.1,25.1,0,441.5,0.003880502,no
485,21.1,25.06666667,0,439,0.003875316,no
486,21.1,25,0,439,0.003864945,no
487,21.1,25.1,0,437.5,0.003880502,no
488,21.05,25.05,0,437.5,0.003860772,no
489,21.1,25.1,0,439.3333333,0.003880502,no
490,21.1,25.1,0,443,0.003880502,no
491,21,25,0,440.5,0.003841124,no
492,21,25,0,442.3333333,0.003841124,no
493,21,25,0,440.6666667,0.003841124,no
494,21,25,0,440,0.003841124,no
495,21,25,0,439,0.003841124,no
496,21,25,0,442,0.003841124,no
497,21,25,0,443.5,0.003841124,no
498,21,25,0,445,0.003841124,no
499,21,25,0,445,0.003841124,no
500,21,25.05,0,442.5,0.003848854,no
501,21,25.1,0,440,0.003856584,no
502,21,25,0,439.5,0.003841124,no
503,21,25,0,438.5,0.003841124,no
504,21,25,0,435,0.003841124,no
505,21,25,0,439.5,0.003841124,no
506,21,25,0,440.5,0.003841124,no
507,21,25,0,439.5,0.003841124,no
508,21,25,0,441,0.003841124,no
509,21,25,0,442,0.003841124,no
510,21,25,0,445,0.003841124,no
511,21,25,0,444,0.003841124,no
512,21,25,0,445,0.003841124,no
513,21,24.89,0,444,0.003824119,no
514,21,24.89,0,443,0.003824119,no
515,21,24.89,0,448,0.003824119,no
516,21.05,24.945,0,443,0.003844489,no
517,21.05,24.945,0,440,0.003844489,no
518,21,24.89,0,440,0.003824119,no
519,21.03333333,24.92666667,0,441,0.00383769,no
520,21.05,24.945,0,440.5,0.003844489,no
521,21.05,24.945,0,444.5,0.003844489,no
522,21.1,25,0,446,0.003864945,no
523,21.05,24.945,0,442.5,0.003844489,no
524,21,24.89,0,439,0.003824119,no
525,21.1,24.89,0,441,0.003847834,no
526,21.1,24.89,0,438.3333333,0.003847834,no
527,21.03333333,24.89,0,439.5,0.00383201,no
528,21.075,24.9725,0,440.75,0.003854707,no
529,21.03333333,24.92666667,0,437,0.00383769,no
530,21.1,24.945,0,440.5,0.00385639,no
531,21.1,24.9175,0,442.25,0.003852112,no
532,21.1,24.89,0,435,0.003847834,no
533,21.1,24.89,0,435.5,0.003847834,no
534,21.1,24.89,0,432,0.003847834,no
535,21.1,24.89,0,439.5,0.003847834,no
536,21.05,24.84,0,442.5,0.003828207,no
537,21.1,24.89,0,438.5,0.003847834,no
538,21.05,24.84,0,435.5,0.003828207,no
539,21.06666667,24.85666667,0,437.3333333,0.003834741,no
540,21.1,24.89,0,437,0.003847834,no
541,21.03333333,24.82333333,0,438,0.003821683,no
542,21.025,24.84,0,435,0.003822295,no
543,21,24.79,0,440,0.003808661,no
544,21,24.82333333,0,441.3333333,0.003813814,no
545,21,24.85666667,0,435,0.003818966,no
546,21,24.89,0,432,0.003824119,no
547,21,24.89,0,435.5,0.003824119,no
548,21,24.89,0,444,0.003824119,no
549,21,24.84,0,444.5,0.00381639,no
550,21,24.89,0,446,0.003824119,no
551,21,24.89,0,445,0.003824119,no
552,21,24.89,0,438.3333333,0.003824119,no
553,21,24.89,0,445.5,0.003824119,no
554,21,24.89,0,439,0.003824119,no
555,21,24.89,0,439,0.003824119,no
556,20.945,24.89,0,439.5,0.003811131,no
557,20.96333333,24.89,0,443.3333333,0.003815456,no
558,20.89,24.89,0,443.5,0.003798181,no
559,20.92666667,24.89,0,444,0.00380681,no
560,21,24.89,0,447.5,0.003824119,no
561,20.89,24.89,0,445.5,0.003798181,no
562,20.89,24.89,0,443,0.003798181,no
563,20.89,24.89,0,438,0.003798181,no
564,20.89,24.89,0,428,0.003798181,no
565,20.89,24.89,0,431,0.003798181,no
566,20.89,24.89,0,441,0.003798181,no
567,20.89,24.89,0,446,0.003798181,no
568,20.89,24.89,0,447,0.003798181,no
569,20.89,24.89,0,439,0.003798181,no
570,20.89,24.89,0,438.3333333,0.003798181,no
571,20.89,24.89,0,442,0.003798181,no
572,20.92666667,24.79,0,443.3333333,0.003791422,no
573,20.89,24.79,0,448,0.003782829,no
574,20.89,24.79,0,444.5,0.003782829,no
575,20.92666667,24.79,0,443.3333333,0.003791422,no
576,20.945,24.79,0,445,0.003795725,no
577,21,24.7,0,445,0.003794749,no
578,21,24.7,0,443.5,0.003794749,no
579,21,24.7,0,439,0.003794749,no
580,21,24.7,0,441.5,0.003794749,no
581,21,24.63333333,0,441.3333333,0.003784445,no
582,21,24.6,0,441,0.003779293,no
583,21,24.6,0,441,0.003779293,no
584,21,24.6,0,440,0.003779293,no
585,21,24.6,0,436,0.003779293,no
586,21,24.6,0,444,0.003779293,no
587,21,24.6,0,442,0.003779293,no
588,21,24.6,0,443.6666667,0.003779293,no
589,21,24.6,0,439.5,0.003779293,no
590,21,24.56666667,0,439.3333333,0.003774141,no
591,21,24.55,0,443.5,0.003771565,no
592,21,24.5,0,445,0.003763837,no
593,21,24.5,0,441.5,0.003763837,no
594,21,24.5,0,445,0.003763837,no
595,21,24.5,0,444.5,0.003763837,no
596,21,24.5,0,443.6666667,0.003763837,no
597,21,24.5,0,445.5,0.003763837,no
598,21,24.445,0,445,0.003755336,no
599,21,24.445,0,443.5,0.003755336,no
600,21,24.39,0,447,0.003746836,no
601,21,24.39,0,444,0.003746836,no
602,21,24.5,0,442.5,0.003763837,no
603,21,24.42666667,0,445,0.003752503,no
604,21,24.5,0,444,0.003763837,no
605,21,24.39,0,440,0.003746836,no
606,21,24.39,0,445.5,0.003746836,no
607,21,24.39,0,444.5,0.003746836,no
608,21,24.39,0,442.5,0.003746836,no
609,21,24.39,0,444,0.003746836,no
610,21,24.39,0,442,0.003746836,no
611,21,24.35666667,0,442.6666667,0.003741684,no
